"Name";"Institution";"Program";"Title";"Term";"amount"
"Applicant Name";"Institution";"Program";"Title";"Term";NA
"Abolmaesumi, PDepartmentComputing, School of";"Queen's";"EQPEQ";"Ultrasound system with high frame rate and dynamic focus for prostate cancer diagnosis and intervention";"1";61124
"Allili, MSDepartmentInformatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Segmentation d'images et analyse de videos: Approches par combinaison de caracteristiques locales et globales et applications";"5";19000
"Allison, RSDepartmentComputer Science and Engineering";"York";"EQPEQ";"Stereoscopic gaze contigent display";"1";51350
"Anderson, JEDepartmentComputer Science";"Manitoba";"RGPIN";"Flexible team formation and task allocation for multi-robot systems in complex domains";"5";19000
"Ansermino, MJDepartmentMedicine, Faculty of";"British Columbia";"RGPIN";"An integrated expert system for physiological monitoring";"1";15000
"Arya, ADepartmentInformation Technology, School of";"Carleton";"RGPIN";"Real-time intelligent generation of human behaviours for interactive virtual environments";"5";19000
"Asudeh, ADepartmentCognitive Science, Institute of";"Carleton";"RGPIN";"Constraint-based syntax and semantics";"5";19000
"Atkins, MSDepartmentComputing Science";"Simon Fraser";"EQPEQ";"Eyegaze studies for medical applications";"1";61079
"Avis, DMDepartmentComputer Science, School of";"McGill";"RGPIN";"Polyhedral computation and quantum information";"5";35000
"Ben-David, SDepartmentComputer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Theoretical analysis of emerging machine learning paradigms";"5";40000
"Bengio, YDepartmentInformatique et recherche operationnelle";"Montreal";"RGPIN";"Learning deep architectures for AI";"5";70000
"Bergeron, ADepartmentInformatique";"Quebec a Montreal";"RGPIN";"Algorithms in comparative genomics, transcriptome assembly, and metagenomics";"5";24000
"Bergler, SDepartmentComputer Science and Software Engineering";"Concordia";"RGPIN";"Composing meaning";"5";24000
"Bose, PKDepartmentComputer Science, School of";"Carleton";"RGPIN";"Geometric computing";"5";40000
"Bouchard, BDepartmentInformatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Un modele hybride de reconnaissance
 d'activites d'un patient d'Alzheimer dans un habitat intelligent base 
sur la logique possibiliste";"5";19000
"Brewster, RCDepartmentMathematics and Statistics";"Thompson Rivers";"RGPIN";"Computational complexity of combinatorial and graph theoretic problems";"5";19000
"Brooks, SDepartmentComputer Science, Faculty of";"Dalhousie";"RGPIN";"Rendering and presentation of spatial data";"5";24000
"Bulitko, VDepartmentComputing Science";"Alberta";"RGPIN";"Real-time Heuristic search and player modeling";"5";35000
"Butler, GDepartmentComputer Science and Software Engineering";"Concordia";"RGPIN";"Knowledge-based bioinformatics";"5";24000
"Cameron, KBDepartmentMathematics";"Wilfrid Laurier";"RGPIN";"Graph algorithms";"5";15000
"Cheng, L-ODepartmentComputing Science";"Alberta";"RGPIN";"Perceptually enhanced graphics and multimedia";"5";15000
"Cheriet, MDepartmentGenie de la production automatisee";"Ecole de technologie superieure";"RGPIN";"Digital access and transcription of historical and complex document images";"5";30000
"Cheriyan, JDepartmentCombinatorics and Optimization";"Waterloo";"RGPIN";"Approximation algorithms for NP-hard problems in network design";"5";30000
"Chiu, DKYDepartmentComputing and Information Science";"Guelph";"RGPIN";"Pattern-discovery and related algorithms";"5";19000
"Chvatal, VDepartmentComputer Science and Software Engineering";"Concordia";"RGPIN";"Branching rules and resolution search in combinatorial optimization";"5";30000
"Crepeau, CDepartmentComputer Science, School of";"McGill";"RGPIN";"Post-quantum and quantum cryptography";"5";35000
"Davies, JDDepartmentCognitive Science, Institute of";"Carleton";"RGPIN";"Visuospatial scene generation";"5";19000
"Dudek, GLDepartmentComputer Science, School of";"McGill";"EQPEQ";"6 degree-of-freedom observation and control";"1";85368
"Dueck, GWDepartmentComputer Science, Faculty of";"New Brunswick";"RGPIN";"Synthesis of reversible logic functions";"5";19000
"Duntsch, IVDepartmentComputer Science";"Brock";"RGPIN";"Algebraic and logical methods for data analysis";"1";15000
"Dussault, JPDepartmentInformatique";"Sherbrooke";"RGPIN";"Solution numerique de problemes d'equilibre";"5";19000
"Eagleson, RADepartmentElectrical and Computer Engineering";"Western Ontario";"RGPIN";"Surgical telerobotics visualization and performance evaluation";"5";19000
"Ergun, AFDepartmentComputing Science";"Simon Fraser";"RGPIN";"Algorithms and lower bounds for sublinear processing of long sequences and large data";"5";30000
"Fiala, MDepartmentComputer Science";"Ryerson";"EQPEQ";"Augmented reality helmet";"1";24999
"Fiala, MDepartmentComputer Science";"Ryerson";"RGPIN";"Development of computer vision based localization and mapping for robotics and augmented reality";"5";15000
"Fiume, ELDepartmentComputer Science";"Toronto";"RGPIN";"Scale-sensitive representations for realistic computer graphics";"5";50000
"Frasson, CDepartmentInformatique et recherche operationnelle";"Montreal";"RGPIN";"Emotionally based intelligent tutoring systems";"5";24000
"Frost, RADepartmentComputer Science, School of";"Windsor";"RGPIN";"Theory/tools to support the creation and deployment of speech applications";"1";15000
"Funt, BVDepartmentComputing Science";"Simon Fraser";"RGPIN";"Computational colour vision";"5";40000
"Gagnon, LDepartmentRecherche et Developpement";"Centre de recherche info de Montreal";"RGPIN";"Content-based video summarization system";"1";15000
"Gao, YDepartmentOkanagan - Psychology & Computer Science";"British Columbia";"RGPIN";"Algorithms and complexity of hard problems: bridging the gap between theory and practice";"5";19000
"Gaur, DDepartmentMathematics and Computer Science";"Lethbridge";"RGPIN";"Linear programming based approximation algorithms for optimization problems";"5";19000
"Ghodsi Boushehri, ADepartmentStatistics and Actuarial Science";"Waterloo";"RGPIN";"Dimensionality reduction: methodology and applications";"5";19000
"Goebel, RGDepartmentComputing Science";"Alberta";"RGPIN";"Aspects of hypothesis space management";"5";30000
"Gondra, IDepartmentMathematics, Statistics and Computing Sciences";"St. Francis Xavier";"RGPIN";"Machine learning methods for strong image segmentation";"5";19000
"Gruninger, MJDepartmentMechanical and Industrial Engineering";"Toronto";"RGPIN";"Ontologies for manufacturing standards";"5";19000
"Hamilton, HJDepartmentComputer Science";"Regina";"RGPIN";"Interestingness measures analysis, expectation-based data mining and animated plans";"5";40000
"Harvey, NJADepartmentCombinatorics and Optimization";"Waterloo";"RGPIN";"Cominatorial optimization and communication networks";"5";29000
"Hell, PTDepartmentComputing Science";"Simon Fraser";"RGPIN";"Complexity of partition problems";"5";60000
"Hirst, GJDepartmentComputer Science";"Toronto";"RGPIN";"Nuances of meaning, paraphrase, and argument identification in applications of natural language processing";"5";50000
"Hossain, SDepartmentMathematics and Computer Science";"Lethbridge";"RGPIN";"Computing with sparse and structured matrices: mathematical derivatives and beyond";"5";19000
"Houghten, SKDepartmentComputer Science";"Brock";"RGPIN";"Computational techniques for combinatorial searches relating to coding theory and bioinformatics";"5";15000
"Jacob, CJDepartmentComputer Science";"Calgary";"RGPIN";"From virtuality to reality and 
back: Emergent design ecologies to explore bio-inspired contructions of 
virtual worlds and their physical counterparts";"5";19000
"Japkowicz, NDepartmentInformation Technology and Engineering, School of";"Ottawa";"RGPIN";"A visualization framework for machine learning evaluation";"5";24000
"Jedwab, JDepartmentMathematics";"Simon Fraser";"RGPIN";"Aperiodic autocorrelation properties of sequences and arrays.";"5";30000
"Joslin, CJJDepartmentInformation Technology, School of";"Carleton";"RGPIN";"Adaptation methods for scalable graphics and animation on constrained devices";"1";15000
"Keil, JMDepartmentComputer Science";"Saskatchewan";"RGPIN";"Algorithmic approaches to hard geometric and graph theoretic problems";"5";19000
"Kirkpatrick, DGDepartmentComputer Science";"British Columbia";"RGPIN";"Computational complexity of geometric and combinatorial problems";"5";50000
"Kobti, ZDepartmentComputer Science, School of";"Windsor";"RGPIN";"Evolutionary learning in complex social system";"5";19000
"Kry, PGDepartmentComputer Science, School of";"McGill";"EQPEQ";"A sensor wall for capture and animation of human climbing strategies";"1";54507
"Lamontagne, LDepartmentInformatique et de genie logiciel";"Laval";"RGPIN";"Case-based reasoning for making decisions in dynamic game environments";"5";19000
"Lapalme, GDepartmentInformatique et recherche operationnelle";"Montreal";"RGPIN";"Natural language processing in the semantic web";"5";35000
"Lee, WSDepartmentInformation Technology and Engineering, School of";"Ottawa";"RGPIN";"Interactive fluid simulation and visualization";"5";30000
"Li, YDepartmentComputer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Optimization and finance";"5";19000
"Liao, SXDepartmentApplied Computer Science and Administrative Studies";"Winnipeg";"RGPIN";"Image analysis with moment descriptors";"5";15000
"Lilien, RHDepartmentComputer Science";"Toronto";"RGPIN";"Novel Algorithms to expedite experimental protein structure determination";"5";24000
"Lilien, RHDepartmentComputer Science";"Toronto";"EQPEQ";"High performance computing for computational Biology";"1";81011
"Mann, SDepartmentComputer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Design intent in surface modeling";"5";30000
"Molloy, MSODepartmentComputer Science";"Toronto";"RGPIN";"Probabilistic graph theory and theoretical computer science";"5";50000
"Monagan, MBDepartmentMathematics";"Simon Fraser";"RGPIN";"Algorithms for multivariate polynomials";"5";24000
