"Name";"Department";"Institution";"Program";"Title";"Term";"a2";"amount"
"Abdelrahman, Tarek TS";"Department Electrical and Computer Engineering, Edward S. Rogers Sr.";"Toronto";"RGPIN";"Compiler support for GPU application accelerators";"5";"$31,000.00";31000
"Abdi, Samar S";"Department Electrical and Computer Engineering";"Concordia";"RGPIN";"Design of multi-core embedded systems using transaction level models";"5";"$25,000.00";25000
"Adams, Bram BM";"Department Computing, School of";"Queen's";"RGPIN";"Empirically Studying and Improving the Co-Evolution of Source Code and Build System";"5";"$15,000.00";15000
"Akl, Selim SG";"Department Computing and Information Science";"Queen's";"RGPIN";"Parallel models of computation and algorithms";"5";"$31,000.00";31000
"Alagar, Vangalur VS";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"A framework for the development of a family of trustworthy systems";"5";"$20,000.00";20000
"Allison, Robert RS";"Department Computer Science and Engineering";"York";"RGPIN";"Stereoscopic surface perception in real and virtual environments";"5";"$34,000.00";34000
"Amaral, Jose JN";"Department Computing Science";"Alberta";"RGPIN";"Automatically exploring parameter space for code transformations in compilers";"5";"$31,000.00";31000
"Aravind, Alex Alagarsamy AA";"Department Computer Science";"Northern British Columbia";"RGPIN";"Development and performance study of synchronization algorithms";"5";"$15,000.00";15000
"Arbel, Tal T";"Department Electrical and Computer Engineering";"McGill";"RGPIN";"Probabilistic inference in computer vision and medical imaging";"5";"$43,000.00";43000
"Atkins, Stella MS";"Department Computing Science";"Simon Fraser";"RGPIN";"Medical image display and analysis for diagnosis and treatment";"5";"$43,000.00";43000
"Auclair-Fortier, Marie-Flavie MF";"Department Informatique";"Sherbrooke";"RGPIN";"Vision panoramique pour la modelisation d'environments virtuels realistes";"5";"$20,000.00";20000
"Aycock, John JD";"Department Computer Science";"Calgary";"RGPIN";"Proactive identification of computer security threats";"5";"$15,000.00";15000
"Baecker, Ronald RM";"Department Computer Science";"Toronto";"RGPIN";"Assistive technology for cognition and communication";"5";"$34,000.00";34000
"Bagheri, Ebrahim E";"Department Computing & Information Systems, School of";"Athabasca";"RGPIN";"Quality engineering for software product lines";"5";"$18,000.00";18000
"Baranoski, Gladimir GVG";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"A framework for the in silico modeling and investigation of time dependent photobiophysical phenomena";"5";"$20,000.00";20000
"Bauer, Michael MA";"Department Computer Science";"Western Ontario";"RGPIN";"Discovering foundations and methods for autonomic computing";"5";"$31,000.00";31000
"Bengio, Yoshua Y";"Department Informatique et recherche operationnelle";"Montreal";"EQPEQ";"GPUs for unsupervised learning of representations";"1";"$111,762.00";111762
"Bergevin, Robert R";"Department Genie electrique et genie informatique";"Laval";"RGPIN";"Fundamental issues in cognitive computer vision";"5";"$25,000.00";25000
"Biddle, Robert RL";"Department Arts and Social Sciences, Faculty of";"Carleton";"RGPIN";"Software design beyond usable security";"5";"$34,000.00";34000
"Biedl, Therese T";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Algorithms for geometric reconstruction problems";"5";"$20,000.00";20000
"Biletskiy, Yevgen YV";"Department Electrical and Computer Engineering";"New Brunswick";"RGPIN";"Ontology engineering for advanced data management";"5";"$15,000.00";15000
"Bilodeau, Guillaume-Alexandre GA";"Department Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Contributions to intelligent visual surveillance";"5";"$20,000.00";20000
"Blouin, Christian C";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Defining the shape of evolutionary landscapes";"5";"$25,000.00";25000
"Booth, Kellogg KS";"Department Computer Science";"British Columbia";"RGPIN";"Collaboration technology and multi-user interfaces";"1";"$31,000.00";31000
"Brassard, Gilles G";"Department Informatique et recherche operationnelle";"Montreal";"RGPIN";"Quantum information science and cryptography";"5";"$125,000.00";125000
"Braverman, Mark M";"Department Computer Science";"Toronto";"RGPIN";"Complexicity theory, algorithms and applications";"5";"$51,000.00";51000
"Bremner, David DD";"Department Computer Science, Faculty of";"New Brunswick";"RGPIN";"Geometric aspects of optimization";"5";"$20,000.00";20000
"Brown, Daniel DGB";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Theory and applications of sequence analysis";"5";"$34,000.00";34000
"Brzozowski, Janusz JA";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Quotient complexity of regular languages";"5";"$18,000.00";18000
"Bui, Tien TD";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Computational methods for image processing understanding and recognition";"5";"$25,000.00";25000
"Bulatov, Andrei AA";"Department Computing Science";"Simon Fraser";"RGPIN";"Algorithms and complexity of the constraint satisfaction problem";"5";"$43,000.00";43000
"Bunt, Andrea AK";"Department Computer Science";"Manitoba";"RGPIN";"Facilitating user involvement in intelligent interactive systems";"5";"$20,000.00";20000
"Cameron, Robert RD";"Department Computing Science";"Simon Fraser";"RGPIN";"Wirespeed text processing with parallel bit stream technology";"5";"$15,000.00";15000
"Capretz, Luiz LF";"Department Electrical and Computer Engineering";"Western Ontario";"RGPGP";"A general framework to improve software estimation";"5";"$23,000.00";23000
"Cercone, Nick NJ";"Department Computer Science and Engineering";"York";"EQPEQ";"Computational support for data mining and adaptive information extraction for applications in health";"1";"$68,703.00";68703
"Chan, Timothy TM";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"New directions in computational geometry";"5";"$51,000.00";51000
"Chechik, Marsha M";"Department Computer Science";"Toronto";"RGPIN";"Abstraction and automation for model management";"5";"$43,000.00";43000
"Chen, Yuanzhu YP";"Department Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Exploration and utilization of broadcast nature of multi-hop wireless networks at the link and network layers";"5";"$15,000.00";15000
"Cherkaoui, Soumaya S";"Department Genie electrique et genie informatique";"Sherbrooke";"RGPIN";"Enabling service provisioning based on mobile users generated content in next generation networks";"5";"$20,000.00";20000
"Christara, Christina CC";"Department Computer Science";"Toronto";"RGPIN";"Numerical methods for partial differential equations: algorithms and software on innovative computer architectures";"5";"$25,000.00";25000
"Clark, James JJ";"Department Electrical and Computer Engineering";"McGill";"RGPIN";"Task sensitive attention tracking";"5";"$43,000.00";43000
"Clarke, Charles CLA";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Information retrieval, search, text mining and related applications";"5";"$34,000.00";34000
"Coady, Yvonne MY";"Department Computer Science";"Victoria";"RGPIN";"STORM: an environment for cloud computing";"5";"$20,000.00";20000
"Collins, Christopher CM";"Department Science, Faculty of";"Ontario Institute of Technology";"RGPIN";"Information visualization for large-scale text and mixed data";"5";"$25,000.00";25000
"Conati, Cristina C";"Department Computer Science";"British Columbia";"RGPIN";"Affect-Sensitive adaptive learning environments";"5";"$20,000.00";20000
