"Researcher";"Title";"Institution"
"Abdel-Rahman, Eihab";"Nonlinear micro-electro-mechanical sensors and actuators";"Waterloo"
"Abou Elela, Sherif";"Biochemical and genetic characterization of ribosome biogenesis and functional diversity";"Sherbrooke"
"Ali, Declan";"Synaptic maturation and development of membrane excitability in zebrafish";"Alberta"
"Apostolov, Vestislav";"Special metrics in classical and generalized Kaehler geometry";"Quebec a Montreal"
"Ardakani, Masoud";"Novel channel coding techniques under practical assumptions";"Alberta"
"Bakr, Mohamed";"Efficient modeling and design optimization of computationally intensive high frequency structures";"McMaster"
"Barker, Philip";"Using drosophila to discern cell death signaling pathways";"McGill"
"Beauchemin, Andre";"Synthesis of nitrogen-containing molecules using bifunctional reagents and organocatalysts";"Ottawa"
"Berbee, Mary";"Becoming a fungus: comparative phylogenomic studies of evolution of hyphal growth and absorptive nutrition in fungi";"British Columbia"
"Berini, Pierre";"Active surface plasmon devices";"Ottawa"
"Bhuiyan, Farina Nadia";"Lean product development";"Concordia"
"Bostock, Michael";"Physical state of the subducting Juan de Fuca plate and the blind deconvolution problem in global seismology";"British Columbia"
"Boumaiza, Slim";"Energy-Efficient adaptive transmitters for 4G wireless radio systems: New Design Paradigm and Enabling Techniques";"Waterloo"
"Brenan, James";"Experimental constraints on the behaviour of highly siderophile elements during planetary differentiation";"Toronto"
"Burrus, Vincent";"setCDQR regulon of the integrating and conjugative elements of the SXT/R391 family: a genetic and molecular study / Etude genetique et moleculaire du regulon setCDR des ICE SXT/R391";"Sherbrooke"
"Caldwell, Michael";"Vertebrate paleontology of terrestrial and marine squamates: testing the relationships of lepidosauria within sauropsida";"Alberta"
"Campbell, Kevin";"Molecular evolution and structure-function relationships of gene products from extinct and extant mammalian species";"Manitoba"
"Campbell, Malcolm";"Comparative functional genomics of plant resource acquisition, perception & allocation";"Toronto"
"Chan Carusone, Anthony";"Energy-efficient I/O for supercomputing";"Toronto"
"Chen, Daolun";"Fatigue and deformation aspects of lightweight materials";"Ryerson"
"Culham, Jody";"Behavioral and neuroimaging investigation of objects in the real world";"Western Ontario"
"Dalai, Ajay";"Applied energy research for green diesel production and glycerol utilization";"Saskatchewan"
"Dalnoki-Veress, Kari";"Soft-materials at surfaces and interfaces";"McMaster"
"Dehne, Frank";"Auto-tuned parallel algorithms for hybrid multi-core/many-core processor clusters";"Carleton"
"Dery, Stephen";"Climate change and the water towers of western Canada";"Northern British Columbia"
"Desveaux, Darrell";"Defining the molecular plant-pathogen interface";"Toronto"
"Devillers, Rodolphe";"Designing methods for evaluationg and communicating the quality of volunteered geographic information";"Memorial Univ. of Nfld"
"Donaldson, Logan";"Molecular architecture in gene expression and virus-host interactions";"York"
"Doucet, Arnaud";"Advanced monte carlo methods for bayesian computation";"British Columbia"
"Drysdale, Thomas";"The molecular basis of thyroid and lung development";"Western Ontario"
"Eaton, David";"The subcontinental lithosphere-asthenosphere boundary";"Calgary"
"El-Dakhakhni, Wael";"System-level seismic performance evaluation of reinforced masonry buildings";"McMaster"
"Elliott, Janet";"Interfacial thermodynamics and kinetics";"Alberta"
