"Institution";"Province"
"Alberta";"Alberta"
"British Columbia";"British Columbia"
"Brock";"Ontario"
"Calgary";"Alberta"
"Carleton";"Ontario"
"Concordia";"Quebec"
"Dalhousie";"Nova Scotia"
"Ecole Polytechnique";"Quebec"
"Ecole de technologie superieure";"Quebec"
"Guelph";"Ontario"
"Lakehead";"Ontario"
"Laurentian";"Ontario"
"Laval";"Quebec"
"Lethbridge";"Alberta"
"Manitoba";"Manitoba"
"McGill";"Quebec"
"McMaster";"Ontario"
"Memorial Univ. of Nfld";"Newfoundland"
"Montreal";"Quebec"
"New Brunswick";"New Brunswick"
"Nipissing";"Ontario"
"Northern British Columbia";"British Columbia"
"Ontario Institute of Technology";"Ontario"
"Ottawa";"Ontario"
"Prince Edward Island";"PEI"
"Quebec a Chicoutimi";"Quebec"
"Quebec a Montreal";"Quebec"
"Quebec en Outaouais";"Quebec"
"Queen's";"Ontario"
"Regina";"Saskatchewan"
"Royal Military College of Canada";"Ontario"
"Ryerson";"Ontario"
"Saint Mary's";"Nova Scotia"
"Saskatchewan";"Saskatchewan"
"Sherbrooke";"Quebec"
"Simon Fraser";"British Columbia"
"Thompson Rivers";"British Columbia"
"Toronto";"Ontario"
"Victoria";"British Columbia"
"Waterloo";"Ontario"
"Western Ontario";"Ontario"
"Wilfrid Laurier";"Ontario"
"Windsor";"Ontario"
"Winnipeg";"Manitoba"
"York";"Ontario"
