"Name";"Department";"Institution";"Program";"Title";"Term";"amount";"a2"
"Abdel-Dayem, Amr AAR";"Department Mathematics and Computer Science";"Laurentian";"RGPIN";"Image segmentation and understanding";"5";14000;14000
"Abran, Alain A";"Department Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Software metrology: Foundations, concepts and techniques for improving quantitative management in software engineering";"5";24000;24000
"Adi, Kamel K";"Department Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Securite des systèmes et reseaux informatiques";"5";24000;24000
"Ahmed, Maher MM";"Department Physics and Computer Science";"Wilfrid Laurier";"RGPIN";"Multiple sensors system for sign language recognition";"5";14000;14000
"Alhajj, Reda RS";"Department Computer Science";"Calgary";"RGPIN";"The power of data mining and machine leaning techniques in social network modeling and analysis";"1";20000;20000
"Andrews, James JH";"Department Computer Science";"Western Ontario";"RGPIN";"Development of high-quality, accessible software";"5";20000;20000
"Ansermino, Mark MJ";"Department Medicine, Faculty of";"British Columbia";"RGPIN";"The monitoring messenger: Mobile patient monitoring for the intensive care unit";"1";24000;24000
"Antle, Alissa AN";"Department Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Image schema and conceptual metaphor based whole body user interfaces";"5";14000;14000
"Antoniol, Giuliano G";"Department Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Textual information driven software quality improvement";"5";29000;29000
"Arazy, Ofer O";"Department Business, School of";"Alberta";"RGPIN";"Theory-driven design for collaborative information technology";"1";14000;14000
"Ascher, Uri UM";"Department Computer Science";"British Columbia";"RGPIN";"Numerical simulation of surface reconstruction, inverse problems and differential equations in applications";"5";33000;33000
"Atwood, John (Bill) JW";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Secure and accountable multicast data distribution";"5";29000;29000
"Bacchus, Fahiem FI";"Department Computer Science";"Toronto";"RGPIN";"Improving the impact and effectiveness of solvers for complete problems";"5";42000;42000
"Baltes, Hansjorg (Jacky) H";"Department Computer Science";"Manitoba";"RGPIN";"Active balancing and complex motion planning for adult sized humanoid robots";"5";14000;14000
"Baranoski, Gladimir GVG";"Department Computer Science, David R. Cheriton School of";"Waterloo";"EQPEQ";"Measurement equipment for the predictive simulatoin of natural phenomena";"1";31618;31618
"Basu, Anup A";"Department Computing Science";"Alberta";"RGPIN";"Perceptually and probabilistically guided multimedia";"5";33000;33000
"Bauer, Michael MA";"Department Computer Science";"Western Ontario";"EQPEQ";"RoadLab: Intelligent advanced driving assistance system";"1";37812;37812
"Beauchemin, Steven S";"Department Computer Science";"Western Ontario";"RGPIN";"RoadLab: An investigation of predictive driver behaviour models for road safety";"5";14000;14000
"Bertossi, Leopoldo LE";"Department Computer Science, School of";"Carleton";"RGPIN";"Contexts as metadata for data management";"5";29000;29000
"Bhattacharya, Binay BK";"Department Computing Science";"Simon Fraser";"RGPIN";"Design and analysis of efficient algorithms for location-routing problems";"5";24000;24000
"Bodorik, Peter P";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Towards the design of correct, scalable, and interoperable caching algorithms";"5";14000;14000
