"Name";"Department";"Institution";"Program";"Title";"Term";"amount"
"Abdulrazak, Bessam BA";"Department Informatique";"Sherbrooke";"RGPIN";"Adaptable Smart Environments for Elderly People  [Environnement Intelligent Adaptable pour les Personnes Agées]";"5";22000
"Alhajj (Elhajj), Reda RA";"Department Computer Science";"Calgary";"RGPIN";"Employing Data Mining and Machine Learning Techniques for Social Network Modeling and Analysis";"1";14000
"Amza, Cristiana C";"Department Electrical and Computer Engineering, Edward S. Rogers Sr. Department of";"Toronto";"RGPIN";"Chorus: A Resource Management Framework for Cost Effective Quality of Service in Cloud Environments";"5";28000
"Andrews, James H";"Department Computer Science";"Western Ontario";"RGPIN";"Testing and Debugging: Connecting Research with Practice";"5";28000
"Arnold, Dirk DV";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Constraint handling in evolutionary algorithms";"5";17000
"Atlee, Joanne JM";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Modelling and Analysis of Feature-Oriented Software";"5";34000
"Aubanel, Eric E A";"Department Computer Science, Faculty of";"New Brunswick";"RGPIN";"Parallel Heterogeneous Algorithms for Computational Science";"5";14000
"Balakrishnan, Ravin R";"Department Computer Science";"Toronto";"RGPIN";"User Interfaces and Visualization for Variable Format Displays.";"5";52000
"Baniasadi, Amirali A";"Department Electrical and Computer Engineering";"Victoria";"RGPIN";"Power-Aware Multicore Processing";"5";22000
"Banzhaf, Wolfgang WD";"Department Computer Science";"Memorial Univ. of Nfld";"RGPIN";"From Genetic Programming to Computational Evolution";"5";34000
"Barron, John JL";"Department Computer Science";"Western Ontario";"RGPIN";"The Measurement and Interpretation of 2D and 3D Image Motion";"5";14000
"Bartram, Linda (Lyn) LR";"Department Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Ambient and Ubiquitous Visualization for Sustainability";"5";14000
"Beaudry, Eric E";"Department Informatique";"Quebec a Montreal";"RGPIN";"Algorithmes de planification appliques aux jeux serieux";"5";19000
"Bener, Ayse AB";"Department Information and Technology Management, School of (ITM)";"Ryerson";"RGPIN";"Decision Making under Uncertainty in Software Engineering: Release Readiness";"5";28000
"Bentahar, Jamal J";"Department Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Intelligent, Strategic and Verifiable Agent-based Communities of Web Services: Theoretical Foundations and Automation";"5";28000
"Berenbrink, Petra P";"Department Computing Science, School of";"Simon Fraser";"RGPIN";"Randomized Algorithms for Distributed Systems";"5";42000
"Bhavsar, Virendrakumar VC";"Department Computer Science, Faculty of";"New Brunswick";"RGPIN";"Parallel and Distributed Intelligent Systems";"5";14000
"Blanchette, Mathieu D";"Department Computer Science, School of";"McGill";"EQPEQ";"Computing infrastructure for bioinformatics web services";"1";40173
"Bonakdarpour, Borzoo B";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Automated Construction of Dependable Component-based Cyber-physical Models";"5";27000
"Bonner, Anthony AJB";"Department Computer Science";"Toronto";"RGPIN";"Computational Methods for Detecting Multi-gene Relationships in Gene Expression Data";"5";17000
"Borodin, Allan B";"Department Computer Science";"Toronto";"RGPIN";"Design, analysis and theory of algorithms";"5";74000
"Boufama, Boubakeur S";"Department Computer Science, School of";"Windsor";"RGPIN";"Semantic Structure from Multiple Uncalibrated Images";"5";14000
"Bouguila, Nizar N";"Department Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Apprentissage statistique hybride (generatif/discriminatif) de modèles multi-relationnels dynamiques et Applications";"5";28000
"Boulanger, Pierre PB";"Department Computing Science";"Alberta";"RGPIN";"TEMIS-Training Environments for Minimally Invasive Surgery";"1";17000
"Boulanger, Pierre PB";"Department Computing Science";"Alberta";"EQPEQ";"Free Viewpoint Video System for MIS Training";"1";64102
"Bouzouane, Abdenour A";"Department Informatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Fouille de donnees spatio-temporelles et multidimensionnelles pour la reconnaissance d'activites: habitat intelligent";"5";14000
"Bowling, Michael MH";"Department Computing Science";"Alberta";"RGPIN";"Human-Scale Game Theory in Imperfect Information Settings";"5";42000
"Boykov, Yuri YY";"Department Computer Science";"Western Ontario";"RGPIN";"Combinatorial Optimization Methods for Computer Vision and Bio-medical Image Analysis";"5";42000
"Brecht, Timothy B";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Evolving the HTTP Ecosystem to Efficiently Support Video and other Large Files";"5";28000
"Buro, Michael M";"Department Computing Science";"Alberta";"RGPIN";"Search, Opponent Modelling, Cooperation, and State Inference in Complex Imperfect Information Domains.";"5";17000
"Butz, Cory J";"Department Computer Science";"Regina";"RGPIN";"Identifying, Understanding, and Exploiting Semantics During Exact Inference in Discrete Bayesian Networks";"5";14000
"Carenini, Giuseppe G";"Department Computer Science";"British Columbia";"RGPIN";"Integrating Methods for Mining and Summarizing Text Conversations";"5";14000
"Carette, Jacques JLSJ";"Department Computing and Software";"McMaster";"RGPIN";"Disciplined Meta-Programming";"5";22000
"Carpendale, Sheelagh MST";"Department Computer Science";"Calgary";"EQPEQ";"Equipment for visualizing personal informatics";"1";86480
"Carpendale, Sheelagh MST";"Department Computer Science";"Calgary";"RGPIN";"Interactive Visualization";"5";62000
"Chang, Xiao-Wen XW";"Department Computer Science, School of";"McGill";"RGPIN";"Algorithms, Analysis, Applications and Software of Numerical Linear Algebra";"5";22000
"Chen, Yangjun YC";"Department Applied Computer Science";"Winnipeg";"RGPIN";"Reachability Queries and Graph Pattern Queries in Graph Databases";"5";14000
"Cheng, Howard Chi Ho HCH";"Department Mathematics and Computer Science";"Lethbridge";"RGPIN";"Space-efficient algorithms in computer algebra and image processing applications";"5";17000
"Cheng, Lin-Oi (Irene) LO";"Department Computing Science";"Alberta";"EQPEQ";"Electromagnetic Tracking of Endo-vascular Surgical Tools for Computer Assisted Surgery";"1";19043
"Cherkaoui, Omar O";"Department Informatique";"Quebec a Montreal";"RGPIN";"Optimal resource allocation of virtualized router: a multi-objective approach";"5";17000
"Chiasson, Sonia SA";"Department Computer Science, School of";"Carleton";"RGPIN";"Universal Usable Security";"5";22000
"Christara, Christina C C";"Department Computer Science";"Toronto";"EQPEQ";"Efficient GPU implementation of numerical methods for scientific computing";"1";46498
"Clark, James J";"Department Electrical and Computer Engineering";"McGill";"EQPEQ";"Attention and Eye tracking experimental facility";"1";54229
"Corbo, Jacomo J";"Department Telfer School of Management";"Ottawa";"RGPIN";"Information Network Flows and Social and Economic Outcomes: Models, Prediction, and Regulation";"5";19000
"Cordy, James J R";"Department Computing, School of";"Queen's";"RGPIN";"Software Analysis and Transformation Systems";"5";42000
"Czarnecki, Krzysztof K";"Department Electrical & Computer Engineering";"Waterloo";"RGPIN";"Lightweight Modeling to Improve Requirements Engineering of Enterprise Software";"5";42000
