"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"ABIDI, SYED SIBTE RAZA SSR";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"An Agile Semantic Web Platform for Knowledge-Centric Decision Support";"5";15000
"Aboulnaga, Ashraf AI";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Systems and Algorithms for Big Data Analytics";"5";25000
"Aimeur, Esma E";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Learning in the age of exposure";"5";30000
"AIT MOHAMED, Otmane O";"Electrical and Computer Engineering";"Concordia";"RGPIN";"Verification Framework and Tools for Highly Reliable Cyber-Physical Systems";"5";20000
"Alhajj, Reda RA";"Computer Science";"Calgary";"RGPIN";"Effective and Efficient Data Analysis Techniques for Emerging Data Intensive Applications";"5";15000
"Alim, Usman UR";"Computer Science";"Calgary";"RGPIN";"Approximation of Divergence-free Vector Fields on Regular Lattices";"5";20000
"Almhana, Jalal JA";"Informatique";"Moncton";"RGPIN";"Modelling and Optimising Cognitive Radio Networks";"5";15000
"AMAR BENSABER, BOUCIF B";"Mathematiques et informatique";"Quebec a Trois-Rivieres";"RGPIN";"Conception et developpement de nouveaux protocoles de securite pour les reseaux ad hoc vehiculaires intelligents (VANETs).";"5";15000
"Amyot, Daniel D";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Goal and Aspect-oriented Business Process Engineering (GAoBPE)";"5";30000
"Ashlock, Daniel DAA";"Mathematics and Statistics";"Guelph";"RGPIN";"Representation and Applications of Evolutionary Computation to Bioinformatics, Optimization, and Games.";"5";20000
"Azevedo, Roger R";"Educational/Counselling Psychology";"McGill";"RGPIN";"Affectively-Responsive Multi-Agent Adaptive Learning Environments";"5";30000
"Baljko, Melanie MA";"Computer Science and Engineering";"York";"RGPIN";"Embodied Interaction Design for Articulation Elicitation and Feedback";"5";15000
"Bandyopadhyay, Subir S";"Computer Science, School of";"Windsor";"RGPIN";"Optimal design of optical WDM networks";"5";15000
"Barbosa, Denilson DM";"Computing Science";"Alberta";"RGPIN";"Robust and Scalable Knowledge Extraction from the Web";"5";30000
"Beaudry, Martin M";"Sciences, Faculte des";"Sherbrooke";"RGPIN";"Langages formels, algebres finies et automates.";"5";20000
"Bellec, Pierre PL";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Data mining in large functional neuroimaging databases";"5";15000
"Ben Hamza, Abdessamad A";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"A spectral geometric framework for 3D shape analysis and applications";"5";20000
"Benyoucef, Morad F";"Telfer School of Management";"Ottawa";"RGPIN";"Enabling Social Commerce - A New Form of E-commerce that Leverages Social Ties Between Users";"5";15000
"Beznosov, Konstantin V";"Electrical and Computer Engineering";"British Columbia";"EQPEQ";"A Platform for Experimental Research on Modern Online Social Networks";"1";55586
"Bilodeau, Guillaume-Alexandre GA";"Genie informatique et genie logiciel";"Ecole Polytechnique";"EQPEQ";"Spherical Vision for Visual Surveillance";"1";16063
"Blondin Masse, Alexandre A";"Informatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Modeles combinatoires pour la representation et l'encodage de figures discretes";"5";20000
"Blustein, William James WJ";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Finding and Using Information in e-Documents";"5";15000
"Boulanger, Pierre PB";"Computing Science";"Alberta";"RGPIN";"Skill Transfer and Evaluation of Minimally Invasive Surgery Procedures Using Visuo-haptic Communication";"5";25000
"Boutilier, Craig E";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Computational Preference Assessment and Optimization for Group Decision Support";"5";66000
"Boyd, Jeffrey E";"Computer Science";"Calgary";"RGPIN";"Vision and Sensing of Human Motion for Athletes and Artists";"5";15000
"Boyd, Sylvia S";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Applying Methods from Combinatorial Optimization in Solving Large-Scale Real World Problems";"5";25000
"Bradbury, Jeremy JS";"Science, Faculty of";"Ontario Institute of Technology";"RGPIN";"Testing and analysis of concurrent and heterogeneous computing software";"5";15000
"Bridson, Robert RE";"Computer Science";"British Columbia";"RGPIN";"Numerical and Geometric Algorithms for Virtual Practical Effects";"5";62000
"Brlek, Srecko S";"Informatique";"Quebec a Montreal";"RGPIN";"Combinatorics on words and digital geometry";"5";25000
"Bruce, Neil NDB";"Computer Science";"Manitoba";"RGPIN";"Computational Modeling and Analysis of Human Gaze Behavior";"5";20000
"Chaib-draa, Brahim B";"Informatique et de genie logiciel";"Laval";"RGPIN";"Uncertainty, Action & Interaction: in Pursuit of Cognitive Information Processing";"5";30000
