"Year";"Name";"Title";"Years";"Amount"
2008;Olesky, Dale;Spectral analysis of sign/zero-nonzero patterns, positivity of principal minors and primitive;5;21000
2008;Wu, K;Perception-based wireless sensor networks;5;19600
2008;Branzan Albu, A;A computer vision-based framework for human motion analysis with applications to elderly health care;5;20000
2008;Goodenough, DG;Advanced computational systems for environmental monitoring;5;25000
2009;Myrvold, WJ;Finding torus obstructions/graph theory and algorithms for chemistry;5;30000
2009;Ruskey, F;Efficient algorithms for sequencing, counting, manipulating and visualizating discrete structures;5;30000
2009;Tory, MK;Empirical examination of design issues in multidimensional visualization;5;35000
2009;Weber, JH;Product-focussed security assurance of ultra-large scale systems;5;30000
2010;Coady, Yvonne MY;STORM: an environment for cloud computing;5;20000
2010;Damian, Daniela DE;Requirements-driven collaboration;5;20000
2010;Shoja, Gholamali GC;Leveraging social network theories to address data delivery issues in mobile ad hoc networks;5;15000
2010;Storey, Margaret-Anne M-AD;Understanding the role of web 2.0 and social media in collaborative software development;5;43000
2011;Ganti, Sudhakar SNM;Adaptive traffic management for high-capacity network architectures with smart services;5;14000
2011;German, Daniel DM;Source code licensing as an essential aspect of modern software development;5;24000
2011;Hoffman, Daniel DM;Automated software testing with context-free grammars and covering arrays;5;20000
2011;Kapron, Bruce BM;Foundational studies in privacy and security;5;24000
2011;King, Valerie V;Algorithms for large scale networks;5;29000
2011;Miller, Michael DM;Synthesis and optimization of reversible and emerging technology circuits;5;14000
2011;Muller, Hausi HA;Design and evolution of highly adaptive software systems: Context, control and run-time validation;5;33000
2011;Pan, Jianping J;Protocol design and performance evaluation for network science and engineering;5;24000
2011;Stege, Ulrike U;Computational problems & tractable algorithms: Bridging the gap between problem definitions and solutions;5;24000
2011;Thomo, Alex AI;Extracting intelligence from an interconnected world of data;5;29000
2011;Whitesides, Sue S;Robotics and geometry;5;33000
2011;Wyvill, Brian BLM;Interactive implicit modelling;5;33000
2012;Gooch, Amy;Framework for Preserving Salience through Perceptual Differences in Spectral Image Creation and Manipulation: From Scene to Display;5;17000
2012;Srinivasan, Venkatesh;Information Extraction from Interconnected Data: An Algorithmic Study;5;22000
2012;Tzanetakis, George;Time Information for Multimedia Processing and Analysis;5;28000
