00138AB3ED7A8C058825782A00740AE4&count=5;AL'S GOURMET FALAFEL;181 LePage Road;
0015D50AA9DB564288256E2F00014B17&count=5;ODEON THEATRE;780 Yates Street;
00946BDA8EA2A4A488257AA20057B335&count=5;CLOVER POINT CARE;90 Linden Avenue;
00C3BB95AA9BD0AD882569B7000CE538&count=5;STARBUCKS COFFEE CO. #4223;97 - 1644 Hillside Avenue;
00DA3CDABBF43508882569B7000CE33D&count=5;GOLDEN CITY RESTAURANT;721 Fisgard Street;
01062F9319C74BC988257A240063CA96&count=5;SUSHI FIELD;5 1594 Fairfield Road;
01702EE4F566A5D588257861007A8613&count=5;HOT HOUSE PIZZA;351 Cook Street;
01716F1AA07E246C88257A2C006788CD&count=5;DA KINE COFFEE;1921 Quadra Street;
01B8107B0E2BCC8C8825744F00786EC8&count=5;PRIMA STRADA PIZZERIA;105 - 230 Cook Street;
01DB266C9137228C882569B7000CE6D4&count=5;SAKURA JAPANESE PRODUCTS;1213 Quadra Street;
01FF09B7DD53A3A38825791F00668242&count=5;COFFEE BAR NONE;4 - 1109 McKenzie Street;
024E50E3930D0B87882569B7000CE5F4&count=5;THE BRICKYARD RESTAURANT;784 Yates Street;
02951CE0DB068E7C882578540078109B&count=5;THE MINT RESTAURANT FOR LUNCH;B - 1412 Douglas Street;
02A04BC8EE4E2E6988257736005D0D26&count=5;CRANBERRY'S COFFEE CUP;916 Pandora Avenue;
03681E78B79C5626882579BA005DC865&count=5;CENOTE RESTAURANT AND LOUNGE (BAR);768 Yates Street;
037AD40D1A041A9788257A1C005B7DE8&count=5;SIMPLY PURE ICE & WATER;2340 Douglas Street;
03D875596F5D6B36882577190072B75F&count=5;WEST COAST WAFFLES;631 Yates Street;
040C616466C834B4882573DA00699BC3&count=5;SWEET FACTORY;335 3147 Douglas Street;
04497911B2D3314B88256E55006C2890&count=5;SILVER THREADS SENIOR CITIZEN CENTRE;1728 Douglas Street;
045360DD566B658788257894007F3DC4&count=5;SIMPLENG PINOY RESTAURANT;1011 Blanshard Street;
04657BFBE2D6AE7F88256E920079D700&count=5;FINEST AT SEA SEAFOOD BOUTIQUE;27 Erie Street;
0484F9C2013BB34188257B420068CF44&count=5;MR. TUBE STEAK #173;2925 Douglas Street;
04D1C6CED355FDCA88256C00007D7B91&count=5;CANOE BREW PUB MARINA RESTAURANT;450 Swift Street;
04EF57F5DFE622A288257196005D0EB6&count=5;FUTABA JAPANESE RESTAURANT;101 1420 Quadra Street;
04F852E9FB929036882579F200751C12&count=5;JONATHAN'S RESTAURANT;425 Quebec Street;
04F94134C1629F0E8825762C006E4387&count=5;CANADA CONES;4445 King Alfred Court;
04FA7DC31B78F33B88256DC60060A8B1&count=5;CENTRAL CARE HOME;844 Johnson Street;
05887C54599752C788257A70006EAE77&count=5;CAFE MELA;784 Humboldt Street;
05D812AFFEBA5233882569B7000CE4A6&count=5;PATISSERIE DANIEL;1729 Cook Street;
060E0EB33D34CCD288257965007B6DD8&count=5;SUBWAY;1106 Cook Street;
0678C96E950F9FD1882569B7000CE3F7&count=5;MAC'S CONVENIENCE STORE;1515 Cook Street;
06BAAE99088861E48825735200579623&count=5;SANDWICH CORNER;610 Courtney Street;
06BF001904076912882579F300624EC7&count=5;BELMIRO'S;777 Douglas Street;
06D527A23EE2F5B688257522007C931E&count=5;FAIRFIELD FIVE CORNER CAFE;1267 Fairfield Road;
078AB0685F16026988256E45007734B0&count=5;SHINE CAFE;1548 Fort Street;
07B6ABC7DAA108CB882576B0005E426E&count=5;EDO JAPAN;431 - 1150 Douglas Street;
07DEBEA37A2A007088257881005F0EAD&count=5;THE TIN ROOF ;1075 Pendergast Street;
080D1FC16E315D61882574E400738958&count=5;OREGANO'S PIZZA AND BISTRO;1 1516 Fairfield Road;
083C8F7160E02F9B882575A50059C545&count=5;CAFE VENETO;1450 Douglas Street;
08569285E9FBB6C2882569B7000CEA28&count=5;GEORGE JAY ELEMENTARY,LUNCH PROGRAM;1118 Princess Street;
08863ECA91816C688825702A007DE6E8&count=5;ROSIE'S DINER;253 Cook Street;
088C516C50826184882578DC005CD383&count=5;LITTLE CAESARS;1627 Hillside Avenue;
089EF3FBB33F14E48825774D007975E4&count=5;OPA! SOUVLAKI;F. C. 10 3147 Douglas Street;
08BBE4FBCBE67C2488256EA80061CA82&count=5;CACTUS CLUB CAFE;1125 Douglas Street;
092BCC0C808CAE4C882575B5005FD616&count=5;SOUPED UP FOODS;450 Beta Street;
0A3A0BA5D76A3342882577060067E159&count=5;SAM'S DELI;805 Government Street;
0A3BFB197ED6DA398825719B007F7545&count=5;LA FIESTA CAFE;G-12 1001 Douglas Street;
0A7B31A31DF238AF88257671005E790B&count=5;SERIOUS COFFEE # 3;1280 Broad Street;
0A97B86041F6B68B882577FA0000A053&count=5;BUBBY'S KITCHEN;355 Cook Street;
0AB053D9F504AAFA88257AA7005DD942&count=5;CAFE MEXIGO;134 560 Johnson Street;
0B0FBD6848518A36882569B7000CE85C&count=5;MARKET ON YATES, GROCERY;903 Yates Street;
0B801B16813930C088256A8C00624118&count=5;SOPRANOS KARAOKE & SPORTS BAR;1961 Douglas Street;
0B8BD1DF8CD53329882569B7000CE2F9&count=5;COOK STREET MARKET PLACE;333 Cook Street;
0BE53BBD49F919D588257AAE006F9B51&count=5;THE YATES ST. TAPHOUSE BAR & GRILLE - BAR;759 Yates Street;
0C2DBF1603AC1006882573530078640D&count=5;THRIFTY FOODS #6, DELI;475 Simcoe Street;
0C8F6CA2C2AB86C1882570E6006F14E8&count=5;BROUGHTON STREET DELI;648 Broughton Street;
0D408994D5AC67D088257A23005FA91E&count=5;BEACON HILL VILLA;635 Superior Street;
0D583686F733B237882569B7000CE5C2&count=5;JIA HUA TRADING CO.;561 Fisgard Street;
0D985F054C017B2D882575DA007890DF&count=5;THE WHITE HEATHER TEA ROOM;1885 Oak Bay Avenue;
0DB73A80177BB044882569B7000CE43E&count=5;TOUCH OF EUROPA DELI;105 2504 Government Street;
0DDF356AF633650C88256FF9007B2AAF&count=5;SUPERIOR CAFE;106 Superior Street;
0E7AF596C0634635882578E800659A3F&count=5;GOURMET EXPRESS;160 Grantville Street;
0E95230E5D5091E388257B27006CFF4F&count=5;OH SUGAR;638 Fisgard Street;
0E9C782008182534882569B7000CE9AE&count=5;S. J. WILLIS EDUCATION CENTRE, SCHOOL LUNCH PROGRAM;923 Topaz Avenue;
0EA381F785DC3FBF88257123006F802D&count=5;TACO TIME;207 1644 Hillside Avenue;
0F0F9A250CC1770E8825718500772120&count=5;SHIZEN JAPANESE RESTAURANT ;1706 Government Street;
