2012/07/01,"Canada Day ^1; Deadline to apply to graduate for Fall convocation"
2012/07/02,"Reading Break May-August sections only"
2012/07/04,"July and July-August courses begin"
2012/07/26,"July courses end"
2012/07/27,"August courses begin"
2012/07/27,"Supplemental and deferred examinations for Winter Session 2011-2012 (except for Engineering courses)"
2012/08/03,"May-August classes end for all faculties"
2012/08/06,"British Columbia Day ^1"
2012/08/07,"May-August examinations begin for all faculties"
2012/08/13,"Examinations end for Faculty of Law ^3"
2012/08/17,"May-August examinations end for all faculties"
2012/08/20,"July-August and August courses end"
2012/09/03,"Labour Day ^1"
2012/09/04,"First-year registration and opening assembly for Faculty of Law"
2012/09/05,"First term classes begin for all faculties"
2012/09/13,"Last day for course changes in Faculty of Law"
2012/09/18,"Last day for 100% reduction of tuition fees for standard first-term and full-year courses ^4."
2012/09/21,"Last day for adding courses that begin in the first-term"
2012/09/30,"Last day for paying first-term fees without penalty"
2012/10/05,"Senate meets"
2012/10/08,"Thanksgiving Day ^1; "
2012/10/09,"Last day for 50% reduction of tuition fees for standard courses. 100% of tuition fees will be assessed for courses dropped after this date ^4."
2012/10/24,"Senate Committee on Academic Standards meets to approve convocation lists"
2012/10/31,"Last day for withdrawing from first-term courses with-out penalty of failure"
2012/11/02,"Senate meets"
2012/11/11,"Remembrance Day ^1"
2012/11/12,"Reading Break (except Faculty of Law)"
2012/11/13,"Wed Fall Convocation"
2012/12/01,"Deadline to apply to graduate for Spring convocation; "
2012/12/03,"Last day of classes in first-term except Faculty of Human and Social Development ^2; National Day of Remembrance and Action on Violence Against Women.; Classes and exams cancelled from 11:30 am to 12:30 pm."
2012/12/06,"First-term examinations begin except Faculty of Human and Social Development ^2"
2012/12/07,"Senate meets"
2012/12/19,"First-term examinations end for Faculty of Law"
2012/12/20,"First-term examinations end for all faculties except Faculty of Law"
2012/12/25,"Christmas Day^1"
2012/12/26,"Boxing Day ^1"
2012/12/25,"1 University closed"
2013/01/01,"New Year s Day ^1"
2013/01/03,"Second-term classes begin except Faculty of Law"
2013/01/04,"Senate meets"
2013/01/07,"Second-term classes begin in Faculty of Law"
2013/01/16,"Last day for 100% reduction of second-term fees for standard courses ^4."
2013/01/17,"Last day for course changes for Faculty of Law"
2013/01/19,"Last day for adding courses that begin in the second term"
2013/01/31,"Last day for paying second-term fees without penalty"
2013/02/01,"Senate meets"
2013/02/06,"Last day for 50% reduction of tuition fees for standard courses. 100% of tuition fees will be assessed for courses dropped after this date ^4."
2013/02/11,"Family Day^1"
2013/02/18,"Reading Break for all faculties"
2013/02/28,"Last day for withdrawing from full-year and second-term courses without penalty of failure"
2013/03/01,"Senate meets"
2013/03/29,"Good Friday^1"
2013/04/01,"Easter Monday ^1; Senate meets"
2013/04/05,"Last day of classes for all faculties except Faculty of Human and Social Development ^2"
2013/04/08,"Examinations begin for all faculties except Faculty of Human and Social Development ^2"
2013/04/19,"Examinations end for Faculty of Law ^3"
2013/04/22,"Examinations end for all faculties except Faculty of Law; End of Winter Session"
2013/05/01,"May-August courses begin for all faculties; May and May-June courses begin"
2013/05/03,"Senate meets"
2013/05/08,"Last day for course changes in Faculty of Law ^3"
2013/05/20,"Victoria Day ^1"
2013/05/23,"Senate Committee on Academic Standards meets to approve convocation lists"
2013/05/24,"May courses end"
2013/06/03,"Congress of the Social Sciences and Humanities. Classes will not be scheduled during Congress"
2013/06/10,"Spring Convocation"
2013/06/12,"June courses begin"
2013/06/27,"May-June courses end"
2013/07/01,"Canada Day ^1; Deadline to apply to graduate for Fall convocation"
2013/07/01,"Tues Reading Break May-August sections only"
2013/07/05,"June courses end"
2013/07/08,"July and July-August courses begin"
2013/07/29,"Supplemental and deferred examinations for Winter Session 2012-2013 (except for Engineering courses)"
2013/07/30,"July courses end"
2013/07/31,"August courses begin"
2013/08/02,"Classes end for Faculty of Law"
2013/08/05,"British Columbia Day ^1"
2013/08/06,"Examinations begin for Faculty of Law ^3"
2013/08/07,"May-August classes end for all faculties except Faculty of Law"
2013/08/12,"May-August examinations begin for all faculties except Faculty of Law"
2013/08/22,"May-August examinations end for all faculties except Faculty of Law; July-August and August courses end"
